                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6508,                 3.2468,                 2.5845,                0.43972,                 0.4598,                0.37503,                0.19397,                 1.5318,                  1.849,                 1.5624,               0.070035,              0.0033295,              0.0033295
                      1,                 1.5278,                 1.7588,                 1.4663,                0.54498,                0.53867,                0.53974,                0.30878,                 1.3106,                 1.4506,                 1.3108,               0.039375,              0.0060032,              0.0060032
                      2,                 1.4108,                  1.509,                 1.3403,                0.60192,                0.65238,                0.64084,                0.37106,                 1.2961,                  1.172,                 1.2827,              0.0080556,              0.0080169,              0.0080169
                      3,                 1.3314,                 1.3468,                 1.2775,                0.60121,                0.70372,                0.66793,                0.39613,                 1.2113,                 1.1375,                 1.2217,                0.00703,                0.00703,                0.00703
                      4,                 1.2733,                 1.2175,                 1.2397,                0.70877,                0.70766,                0.73702,                0.44363,                 1.1972,                 1.0019,                 1.2123,                0.00703,                0.00703,                0.00703
                      5,                 1.2363,                 1.1064,                 1.2196,                0.78878,                0.72945,                 0.7924,                0.48893,                 1.1755,                0.92549,                 1.1957,                0.00604,                0.00604,                0.00604
                      6,                 1.2092,                 1.0032,                  1.208,                0.79817,                0.75173,                0.82381,                0.51438,                 1.1526,                 0.8688,                 1.1835,                0.00505,                0.00505,                0.00505
                      7,                 1.1944,                0.93858,                 1.1946,                0.86797,                0.79177,                0.86206,                0.54276,                   1.14,                0.76489,                 1.1833,                0.00406,                0.00406,                0.00406
                      8,                 1.1741,                0.86681,                 1.1816,                0.88095,                0.80813,                0.87921,                0.55614,                 1.1213,                0.72731,                  1.171,                0.00307,                0.00307,                0.00307
                      9,                 1.1588,                0.80949,                 1.1756,                0.88027,                0.82914,                0.89117,                0.57031,                 1.1034,                0.68725,                 1.1622,                0.00208,                0.00208,                0.00208
